car_name,model_year,present_price,km_driven,seller_type,fuel_type,transmission_type,ownsership,selling_price
Mahindra Bolero,2021,1985000,25000,Individual,Diesel,Manual,First Owner,350000
Maruti Swift Dzire,2022,2445000,90000,Individual,Diesel,Manual,First Owner,600000
Maruti Swift Dzire,2016,1360000,45000,Dealer,Diesel,Manual,First Owner,390000
Honda City,2021,2485000,77253,Dealer,Petrol,Manual,First Owner,145000
Hyundai i20,2015,3785000,25000,Individual,Petrol,Manual,First Owner,700000
Toyota Fortuner,2017,1490000,110000,Individual,Diesel,Manual,First Owner,1150000
Renault KWID,2018,1445000,30000,Individual,Petrol,Manual,First Owner,340000
Honda Amaze,2006,1495000,39993,Dealer,Petrol,Manual,First Owner,465000
Hyundai Santro,2020,1815000,80000,Individual,Petrol,Manual,First Owner,125000
Mahindra XUV500,2011,3550000,185000,Individual,Diesel,Manual,First Owner,600000
Maruti Swift Dzire,2016,2300000,90000,Individual,Diesel,Manual,First Owner,380000
Hyundai i20,2017,2400000,15000,Individual,Diesel,Manual,First Owner,850000
Hyundai i20,2018,2390000,40000,Individual,Petrol,Manual,First Owner,598000
Honda City,2012,1400000,31180,Dealer,Petrol,Automatic,First Owner,700000
Maruti Swift Dzire,2007,1345000,56000,Dealer,Diesel,Manual,First Owner,410000
Maruti Baleno,2014,1495000,52427,Dealer,Petrol,Automatic,First Owner,590000
Mahindra Bolero,2011,1210000,40000,Individual,Diesel,Manual,First Owner,850000
Mahindra KUV100,2023,625000,17000,Individual,Petrol,Manual,First Owner,550000
Maruti Baleno,2007,1750000,22000,Dealer,Petrol,Manual,Second Owner,625000
Maruti Swift Dzire,2019,1385000,54000,Individual,Petrol,Manual,Second Owner,600000
Maruti Wagon R,2022,1880000,10000,Individual,Petrol,Manual,First Owner,445000
Maruti Ignis,2012,3000000,20000,Individual,Petrol,Manual,First Owner,530000
Maruti Wagon R,2021,495000,53237,Trustmark Dealer,CNG,Manual,First Owner,410000
Datsun RediGO,2017,1970000,27263,Individual,Petrol,Manual,First Owner,350000
Hyundai Verna,2016,1170000,110000,Individual,Diesel,Manual,First Owner,520000
Hyundai i20,2017,2980000,70000,Individual,Diesel,Manual,First Owner,750000
Maruti Swift Dzire,2017,1025000,70000,Individual,Diesel,Manual,First Owner,560000
Hyundai i20,2016,585000,39000,Dealer,Petrol,Manual,First Owner,655000
Hyundai Santro,2005,1140000,56000,Dealer,Petrol,Manual,First Owner,125000
Hyundai i20,2013,1550000,34000,Individual,Petrol,Manual,First Owner,550000
Mahindra Scorpio,2016,1215000,50000,Individual,Diesel,Manual,First Owner,1150000
Volkswagen Vento,2009,2265000,77400,Individual,Diesel,Manual,First Owner,500000
Mahindra Marazzo,2023,2400000,36000,Individual,Diesel,Manual,First Owner,990000
Hyundai Verna,2010,2350000,47876,Dealer,Diesel,Manual,First Owner,551000
Mahindra XUV500,2014,1510000,21500,Individual,Diesel,Automatic,First Owner,1650000
Hyundai Grand,2010,955000,75000,Dealer,Diesel,Manual,First Owner,350000
Ford Aspire,2018,3045000,58000,Dealer,Petrol,Manual,First Owner,500000
Maruti Swift Dzire,2018,3345000,30000,Individual,Petrol,Manual,First Owner,575000
Hyundai Grand,2014,2245000,50000,Individual,Diesel,Manual,First Owner,545000
Ford Figo,2021,3345000,19093,Trustmark Dealer,Petrol,Manual,First Owner,525000
Honda Amaze,2014,1420000,50000,Individual,Petrol,Manual,Second Owner,400000
Maruti Wagon R,2023,1835000,37000,Dealer,Petrol,Manual,First Owner,155000
Maruti Swift Dzire,2019,895000,47000,Dealer,Diesel,Manual,First Owner,545000
Honda City,2023,5200000,70000,Individual,Petrol,Manual,Third Owner,545000
Renault KWID,2022,700000,25000,Individual,Petrol,Manual,First Owner,240000
Maruti Vitara,2019,1720000,26000,Dealer,Diesel,Manual,First Owner,725000
Ford Aspire,2006,1650000,30000,Individual,Petrol,Manual,First Owner,480000
Hyundai i20,2017,1960000,15000,Individual,Petrol,Manual,Second Owner,375000
Maruti Swift,2019,650000,160000,Individual,Diesel,Manual,Second Owner,225000
Tata Tiago,2023,2790000,32100,Individual,Petrol,Manual,First Owner,400000
Hyundai i20,2019,250000,22000,Dealer,Petrol,Manual,First Owner,550000
Mahindra Scorpio,2019,2600000,44000,Dealer,Diesel,Manual,First Owner,1050000
Volkswagen Polo,2023,1275000,78000,Dealer,Petrol,Manual,First Owner,450000
Mercedes-Benz C-Class,2019,5000000,74352,Dealer,Petrol,Automatic,Second Owner,775000
Maruti Wagon R,2017,1630000,37000,Individual,Petrol,Manual,First Owner,350000
Honda City,2005,8700000,69000,Dealer,Diesel,Manual,Second Owner,550000
Kia Seltos,2020,1300000,12120,Individual,Petrol,Manual,First Owner,1080000
Maruti Baleno,2015,3850000,52000,Dealer,Petrol,Manual,First Owner,575000
Toyota Innova,2021,13900000,120000,Individual,Diesel,Manual,First Owner,950000
Maruti Alto,2023,1725000,55000,Individual,Petrol,Manual,First Owner,230000
Hyundai i20,2015,3400000,160000,Individual,Diesel,Manual,Second Owner,270000
Ford Figo,2014,4630000,40000,Individual,Petrol,Manual,First Owner,130000
Maruti Swift Dzire,2012,2725000,46000,Dealer,Petrol,Manual,First Owner,370000
Maruti Baleno,2020,1875000,25000,Dealer,Petrol,Manual,Third Owner,570000
Volkswagen Polo,2016,780000,90000,Dealer,Diesel,Manual,First Owner,365000
Hyundai i20,2004,910000,49566,Dealer,Petrol,Manual,First Owner,280000
Hyundai Verna,2023,950000,14000,Dealer,Diesel,Automatic,First Owner,1250000
Hyundai i20,2022,1500000,11000,Dealer,Petrol,Manual,Second Owner,590000
Maruti Celerio,2023,1500000,5000,Individual,Petrol,Automatic,Second Owner,475000
Ford Ecosport,2021,1450000,55000,Dealer,Diesel,Manual,First Owner,685000
Hyundai Verna,2018,925000,65000,Dealer,Diesel,Automatic,First Owner,380000
Renault KWID,2016,1595000,22000,Individual,Petrol,Manual,First Owner,330000
Maruti Baleno,2020,650000,7671,Trustmark Dealer,Petrol,Manual,First Owner,650000
Maruti Wagon R,2015,2700000,66000,Individual,Petrol,Manual,Second Owner,325000
Maruti Swift Dzire,2005,3025000,45156,Dealer,Petrol,Automatic,First Owner,640000
Hyundai Venue,2003,875000,25000,Individual,Petrol,Manual,Second Owner,949000
Hyundai Verna,2023,2400000,120000,Individual,Diesel,Manual,First Owner,660000
Maruti Swift,2012,1725000,28000,Dealer,Petrol,Manual,First Owner,435000
Hyundai i20,2020,3150000,55000,Dealer,Diesel,Manual,First Owner,385000
Hyundai Verna,2019,660000,14000,Dealer,Diesel,Automatic,First Owner,1250000
Maruti Wagon R,2013,2525000,98780,Dealer,Petrol,Manual,Second Owner,155000
Maruti Swift,2022,3025000,58000,Dealer,Diesel,Manual,First Owner,415000
Maruti Alto,2020,34300000,30000,Individual,Petrol,Manual,First Owner,251000
Mahindra Scorpio,2014,37500000,46400,Dealer,Diesel,Manual,First Owner,1150000
Hyundai i10,2022,2200000,32111,Trustmark Dealer,Petrol,Manual,First Owner,310000
Datsun GO,2014,4095000,35000,Individual,Petrol,Manual,First Owner,350000
Mahindra Scorpio,2016,1450000,30000,Dealer,Diesel,Manual,First Owner,1125000
BMW 5,2019,3190000,63000,Dealer,Diesel,Automatic,First Owner,2600000
Datsun GO,2021,725000,10000,Individual,Petrol,Manual,First Owner,480000
Maruti Swift Dzire,2005,1600000,25000,Individual,Diesel,Automatic,First Owner,850000
Hyundai Creta,2020,3300000,102000,Dealer,Diesel,Automatic,First Owner,1100000
Maruti Swift,2016,1230000,35000,Dealer,Petrol,Manual,First Owner,575000
Maruti Swift Dzire,2021,895000,49948,Dealer,Petrol,Manual,2993 cc,340000
Ford Ecosport,2013,400000,55000,Individual,Diesel,Manual,First Owner,925000
Hyundai Grand,2011,20000000,36000,Dealer,Petrol,Manual,First Owner,400000
Honda City,2010,2495000,49625,Dealer,Petrol,Manual,First Owner,725000
Maruti Swift Dzire,2018,3325000,35000,Individual,Diesel,Manual,First Owner,600000
Mahindra Scorpio,2010,1750000,95000,Individual,Diesel,Manual,First Owner,550000
Ford Aspire,2023,1550000,36000,Dealer,Diesel,Manual,First Owner,585000
Maruti Wagon R,2022,550000,50000,Individual,Petrol,Manual,First Owner,411000
Maruti Swift Dzire,2016,1700000,26500,Individual,Petrol,Manual,Second Owner,450000
Honda CR-V,2011,11500000,80000,Dealer,Petrol,Automatic,First Owner,1290000
Volkswagen Polo,2016,2480000,46000,Dealer,Petrol,Manual,First Owner,455000
Hyundai Grand,2020,3350000,9000,Individual,Petrol,Manual,First Owner,710000
Honda City,2015,3280000,53000,Dealer,Petrol,Manual,First Owner,770000
Ford Endeavour,2023,675000,11387,Individual,Diesel,Automatic,First Owner,2900000
Honda Amaze,2017,430000,50000,Individual,Diesel,Manual,First Owner,720000
Mahindra KUV,2012,1875000,52000,Dealer,Diesel,Manual,First Owner,375000
Datsun GO,2015,1250000,35000,Individual,Petrol,Manual,First Owner,400000
Renault Duster,2021,3350000,48000,Individual,Diesel,Manual,First Owner,600000
Honda Jazz,2016,1700000,18000,Individual,Petrol,Manual,First Owner,600000
Maruti Wagon R,2006,2250000,57413,Individual,LPG,Manual,First Owner,270000
Hyundai i20,2019,1050000,30000,Individual,Petrol,Manual,2993 cc,500000
Hyundai Verna,2015,4200000,55000,Dealer,Diesel,Manual,First Owner,650000
Maruti Swift,2021,1025000,10000,Individual,Petrol,Automatic,First Owner,660000
BMW 3,2013,16300000,68000,Dealer,Diesel,Automatic,First Owner,2090000
Kia Seltos,2006,1620000,8000,Dealer,Petrol,Manual,First Owner,1275000
Maruti Swift,2021,550000,65000,Dealer,Diesel,Manual,Second Owner,495000
Hyundai Grand,2014,660000,25000,Individual,Petrol,Manual,First Owner,475000
Maruti Ciaz,2022,630000,70000,Individual,Petrol,Manual,Second Owner,530000
Tata Tiago,2006,2595000,9500,Individual,Petrol,Manual,First Owner,530000
Hyundai Verna,2013,370000,9100,Individual,Petrol,Manual,First Owner,650000
Honda City,2023,1620000,86000,Dealer,Petrol,Manual,First Owner,335000
Audi A4,2005,3399000,78000,Dealer,Diesel,Automatic,First Owner,1290000
Ford Figo,2015,760000,60000,Individual,Diesel,Manual,First Owner,300000
Maruti Wagon R,2017,575000,7883,Trustmark Dealer,Petrol,Automatic,First Owner,550000
Maruti Swift Dzire,2011,1020000,50205,Trustmark Dealer,Diesel,Manual,First Owner,390000
Mahindra Bolero,2020,530000,220000,Individual,Diesel,Manual,First Owner,260000
Tata Tigor,2016,2480000,58000,Dealer,Diesel,Manual,First Owner,395000
Mahindra Scorpio,2017,435000,170000,Individual,Diesel,Manual,First Owner,550000
Maruti Swift Dzire,2013,1370000,15000,Individual,Petrol,Manual,First Owner,650000
Maruti Swift,2022,1090000,71245,Dealer,Diesel,Manual,First Owner,375000
Kia Seltos,2022,1525000,7000,Individual,Petrol,Manual,First Owner,1300000
Maruti Alto,2020,1680000,20000,Individual,Petrol,Manual,First Owner,360000
Maruti Celerio,2012,1300000,8700,Individual,Petrol,Manual,First Owner,505000
Maruti Alto,2008,770000,25000,Individual,Petrol,Manual,First Owner,310000
Hyundai i20,2019,1025000,42000,Dealer,Petrol,Manual,First Owner,545000
Mahindra Bolero,2022,750000,120000,Individual,Diesel,Manual,First Owner,150000
Maruti Baleno,2010,2690000,50000,Individual,Petrol,Manual,First Owner,580000
Maruti Wagon R,1997,3295000,58000,Individual,Petrol,Manual,First Owner,250000
Hyundai Verna,2020,2475000,36000,Individual,Petrol,Manual,First Owner,650000
Maruti Ertiga,2023,2050000,30000,Individual,Diesel,Manual,First Owner,410000
Ford Ecosport,2021,1865000,162828,Dealer,Diesel,Manual,First Owner,531000
Ford Ecosport,1999,650000,7500,Individual,Diesel,Manual,First Owner,890000
Tata Safari,2022,2295000,47227,Dealer,Diesel,Manual,First Owner,775000
Maruti Wagon R,2012,4500000,52000,Dealer,CNG,Manual,First Owner,435000
Ford Figo,2014,2975000,74000,Dealer,Diesel,Manual,1461 cc,185000
Mahindra Bolero,2019,2135000,47000,Dealer,Diesel,Manual,First Owner,440000
Hyundai i20,2010,2550000,50000,Individual,Petrol,Manual,First Owner,450000
Maruti Baleno,2023,1700000,100000,Individual,Petrol,Manual,Second Owner,600000
Maruti Celerio,2015,775000,35000,Individual,Petrol,Manual,Second Owner,320000
Hyundai i20,2023,875000,50000,Individual,Diesel,Manual,First Owner,700000
Ford Aspire,2021,1350000,10000,Individual,Petrol,Manual,First Owner,630000
Maruti Alto,2013,2075000,10370,Individual,Petrol,Manual,First Owner,320000
Honda City,2014,1245000,62000,Dealer,Petrol,Manual,First Owner,465000
Hyundai i20,2018,1050000,40000,Individual,Petrol,Manual,First Owner,550000
Maruti Swift,2018,175000,60000,Individual,Petrol,Manual,First Owner,445000
Tata Safari,2021,600000,67231,Dealer,Diesel,Manual,First Owner,705000
Maruti Wagon R,2011,450000,64000,Dealer,CNG,Manual,First Owner,270000
Honda City,2013,1625000,63000,Dealer,Diesel,Manual,First Owner,475000
Toyota Fortuner,2018,1150000,80000,Individual,Diesel,Manual,First Owner,1755000
Honda City,2008,435000,55000,Dealer,Petrol,Manual,First Owner,350000
Hyundai i20,2010,1125000,11000,Dealer,Petrol,Manual,First Owner,575000
Renault KWID,2016,3300000,17000,Individual,Petrol,Manual,First Owner,360000
Maruti Alto,2012,760000,25000,Individual,Petrol,Manual,First Owner,275000
Datsun GO,2023,2275000,33350,Individual,Petrol,Manual,First Owner,320000
Hyundai Grand,2016,1700000,62000,Dealer,Petrol,Manual,1461 cc,370000
Maruti Swift Dzire,2017,1720000,59000,Individual,Petrol,Manual,First Owner,275000
Honda City,2018,1210000,86113,Dealer,Petrol,Manual,First Owner,550000
Maruti Swift Dzire,2019,2350000,10000,Individual,Diesel,Manual,Second Owner,750000
Maruti Wagon R,2021,1725000,92537,Individual,Petrol,Manual,Second Owner,272000
Maruti Ciaz,2022,1950000,27645,Dealer,Diesel,Manual,First Owner,951000
Maruti Alto,2020,1850000,46242,Individual,Petrol,Manual,First Owner,280000
Honda City,2019,2196000,70000,Individual,Petrol,Manual,First Owner,545000
Renault KWID,2020,5700000,6000,Individual,Petrol,Manual,First Owner,450000
Hyundai i20,2014,895000,64000,Dealer,Petrol,Manual,First Owner,480000
Mahindra Scorpio,2004,1525000,93000,Dealer,Diesel,Manual,Second Owner,1060000
Maruti Alto,2018,2100000,26200,Dealer,Petrol,Manual,First Owner,235000
Maruti Baleno,2015,4750000,25000,Individual,Petrol,Manual,First Owner,590000
Toyota Fortuner,2005,2145000,50000,Dealer,Diesel,Automatic,First Owner,2950000
Hyundai Santro,2017,3175000,80000,Individual,Petrol,Manual,First Owner,110000
Mahindra Scorpio,2022,1325000,110000,Individual,Diesel,Manual,First Owner,280000
Audi A4,2014,635000,55000,Dealer,Petrol,Automatic,First Owner,1851000
Honda City,2008,2160000,25000,Individual,Petrol,Manual,First Owner,750000
Hyundai Grand,2022,1950000,36000,Dealer,Petrol,Manual,First Owner,400000
Maruti Swift Dzire,2016,1190000,40000,Individual,Diesel,Manual,First Owner,530000
Mahindra Thar,2013,1080000,25000,Individual,Diesel,Manual,998 cc,870000
Renault KWID,2005,12000000,30038,Dealer,Petrol,Manual,First Owner,295000
Tata Tiago,2018,2225000,53000,Individual,Diesel,Manual,First Owner,370000
Maruti Swift,2008,775000,5000,Individual,Petrol,Manual,1995 cc,530000
Renault KWID,2018,900000,35000,Individual,Petrol,Automatic,Second Owner,350000
Ford Ecosport,2008,2300000,62000,Dealer,Diesel,Manual,First Owner,470000
Ford Aspire,2023,1485000,42000,Individual,Diesel,Manual,First Owner,390000
Mahindra Scorpio,2001,625000,80000,Individual,Diesel,Manual,Second Owner,920000
Mahindra XUV500,2004,940000,60000,Individual,Diesel,Manual,First Owner,550000
Hyundai Verna,2007,4000000,45000,Individual,Diesel,Manual,Second Owner,635000
Mahindra XUV500,2007,4000000,50000,Dealer,Diesel,Automatic,First Owner,1250000
Maruti Alto,2016,5600000,12000,Individual,Petrol,Manual,First Owner,300000
Honda City,2022,2840000,12000,Individual,Petrol,Automatic,Second Owner,960000
Maruti Vitara,2019,2530000,15000,Individual,Diesel,Manual,Second Owner,750000
Volkswagen Polo,2015,1430000,63000,Dealer,Petrol,Manual,First Owner,249000
Tata Hexa,2023,5400000,30000,Individual,Diesel,Manual,First Owner,1400000
Ford Figo,2018,2400000,160800,Individual,Diesel,Manual,First Owner,250000
Hyundai Verna,2018,3900000,120000,Individual,Diesel,Manual,First Owner,610000
Ford Ecosport,2012,1495000,78247,Dealer,Diesel,Manual,1451 cc,545000
Hyundai Verna,2011,885000,113000,Individual,Diesel,Manual,Second Owner,480000
Hyundai i20,2020,570000,52000,Dealer,Petrol,Manual,First Owner,395000
Toyota Innova,2016,7500000,109000,Dealer,Diesel,Manual,1995 cc,495000
Hyundai Grand,2017,890000,90000,Individual,Petrol,Manual,First Owner,470000
Volkswagen Polo,2008,1200000,98000,Dealer,Diesel,Manual,1995 cc,200000
Hyundai i20,2015,1530000,20000,Individual,Diesel,Manual,1995 cc,699000
Maruti Wagon R,2016,17500000,21717,Individual,Petrol,Manual,1995 cc,340000
Renault Duster,2021,580000,40000,Individual,Diesel,Manual,First Owner,500000
Honda City,2016,330000,50000,Individual,Petrol,Manual,Second Owner,1050000
Renault Duster,2014,2050000,90000,Individual,Diesel,Manual,First Owner,600000
Maruti Swift,2021,1725000,27876,Dealer,Petrol,Manual,Second Owner,491000
Land Rover Rover,2008,900000,56000,Dealer,Petrol,Automatic,First Owner,2890000
Hyundai i10,2016,1955000,57215,Individual,Petrol,Manual,First Owner,160000
Hyundai Venue,2016,1344000,5400,Dealer,Petrol,Manual,Second Owner,985000
Maruti Swift Dzire,2009,1600000,60000,Individual,Diesel,Manual,Second Owner,500000
Tata Tiago,2023,2650000,24800,Individual,Petrol,Manual,First Owner,335000
Maruti Alto,2018,1250000,70000,Individual,Petrol,Manual,First Owner,85000
Honda Jazz,2017,1700000,20000,Dealer,Petrol,Automatic,First Owner,740000
Maruti Swift,2019,370000,34553,Dealer,Petrol,Manual,First Owner,375000
Maruti Vitara,2008,895000,40000,Individual,Diesel,Manual,1451 cc,810000
Volkswagen Polo,2016,575000,350000,Individual,Petrol,Manual,Second Owner,173000
Maruti Vitara,2016,1600000,50000,Individual,Diesel,Manual,First Owner,700000
Mahindra KUV,2007,2370000,70000,Individual,Diesel,Manual,1995 cc,310000
Mahindra Scorpio,2011,2075000,120000,Individual,Diesel,Manual,First Owner,850000
Hyundai i20,2023,2125000,90000,Individual,Diesel,Manual,1995 cc,285000
Maruti Swift Dzire,2023,2350000,120000,Individual,Diesel,Manual,1995 cc,450000
Hyundai Creta,2022,2450000,80000,Individual,Diesel,Manual,1995 cc,1100000
Mahindra Scorpio,2021,3495000,30000,Individual,Diesel,Manual,First Owner,1080000
Honda City,1993,6400000,66100,Dealer,Diesel,Manual,First Owner,530000
Maruti Swift Dzire,2021,2250000,50000,Individual,Diesel,Manual,1995 cc,680000
Mahindra Scorpio,2013,2400000,42000,Dealer,Diesel,Manual,First Owner,1025000
Hyundai i20,2017,775000,55000,Individual,Petrol,Manual,First Owner,650000
Hyundai i10,2022,2050000,110699,Dealer,Petrol,Manual,1995 cc,194000
Maruti Baleno,2022,900000,5000,Individual,Petrol,Automatic,First Owner,686000
Maruti Alto,2023,1550000,50000,Individual,Petrol,Manual,1995 cc,200000
Maruti Swift Dzire,2022,2700000,44000,Dealer,Petrol,Manual,First Owner,250000
Maruti Vitara,2019,3540000,90000,Individual,Diesel,Manual,First Owner,730000
Hyundai Verna,2022,1050000,55000,Dealer,Petrol,Manual,1995 cc,650000
Maruti Vitara,2022,620000,45000,Dealer,Diesel,Manual,First Owner,790000
Maruti Baleno,2004,820000,30000,Individual,Petrol,Manual,Second Owner,620000
Hyundai Verna,2022,900000,50000,Individual,Petrol,Manual,1995 cc,510000
Maruti Eeco,2022,3800000,20000,Individual,Petrol,Manual,First Owner,375000
Maruti Swift Dzire,2003,2100000,19843,Trustmark Dealer,Petrol,Automatic,1995 cc,620000
Ford Endeavour,2014,1295000,30000,Individual,Diesel,Automatic,1998 cc,950000
Toyota Innova,2007,600000,52300,Dealer,Diesel,Manual,First Owner,1450000
Honda City,2019,6900000,40000,Individual,Petrol,Automatic,First Owner,845000
Maruti Swift Dzire,2015,3800000,61500,Dealer,Diesel,Manual,First Owner,390000
Honda Amaze,2017,550000,59000,Dealer,Petrol,Manual,First Owner,395000
Hyundai Grand,2010,615000,40000,Individual,Petrol,Manual,Second Owner,450000
Audi A6,2019,2540000,60000,Individual,Diesel,Automatic,First Owner,1700000
Hyundai Grand,2021,749000,61000,Dealer,Petrol,Manual,First Owner,325000
Mahindra KUV,2019,4500000,70000,Individual,Diesel,Manual,First Owner,350000
Mahindra XUV500,2020,2650000,63000,Dealer,Diesel,Manual,Second Owner,650000
Mercedes-Benz E-Class,2014,4610000,58000,Dealer,Petrol,Manual,First Owner,1250000
Maruti Swift Dzire,2022,1125000,22000,Individual,Diesel,Manual,First Owner,750000
Honda City,2010,1375000,57977,Dealer,Petrol,Manual,Second Owner,299000
Land Rover Rover,2020,4850000,13000,Dealer,Petrol,Automatic,First Owner,7000000
Mini Cooper,2018,3650000,67000,Dealer,Petrol,Automatic,First Owner,1325000
Maruti Ertiga,2014,2235000,48242,Dealer,Diesel,Manual,First Owner,524000
Ford Figo,2011,1785000,68000,Dealer,Diesel,Manual,First Owner,169000
Maruti Ertiga,2018,980000,40000,Individual,Diesel,Manual,First Owner,500000
Audi Q7,2023,2325000,98000,Dealer,Diesel,Automatic,First Owner,2000000
Maruti Swift Dzire,2020,1080000,113450,Individual,Diesel,Manual,First Owner,380000
Maruti Wagon R,2019,1650000,80000,Individual,Petrol,Automatic,Second Owner,400000
Hyundai Santro,2015,2700000,1000,Dealer,Petrol,Automatic,First Owner,565000
Maruti Wagon R,2021,1050000,20292,Dealer,Petrol,Manual,First Owner,335000
Mahindra Scorpio,2023,495000,67900,Dealer,Diesel,Manual,Second Owner,300000
Mahindra Scorpio,2018,1615000,40000,Dealer,Diesel,Manual,First Owner,1051000
Hyundai Grand,2017,1320000,60000,Individual,Diesel,Manual,First Owner,510000
Renault KWID,2021,730000,25000,Individual,Petrol,Automatic,Second Owner,370000
Maruti Wagon R,2019,4800000,70000,Individual,Petrol,Manual,First Owner,200000
Maruti Baleno,2005,2900000,21000,Individual,Diesel,Manual,Second Owner,625000
Mahindra Scorpio,2002,950000,39000,Dealer,Diesel,Manual,First Owner,1290000
Hyundai Creta,2021,1650000,30000,Dealer,Petrol,Manual,First Owner,890000
Hyundai Verna,2007,2320000,61000,Dealer,Diesel,Manual,Second Owner,420000
Maruti Swift,2013,2195000,5743,Trustmark Dealer,Petrol,Manual,First Owner,500000
Hyundai Grand,2022,665000,24200,Individual,Petrol,Manual,First Owner,600000
Maruti Baleno,2022,2875000,57000,Individual,Diesel,Manual,First Owner,590000
Hyundai i10,2021,1815000,58000,Dealer,Petrol,Manual,First Owner,190000
Datsun GO,2005,990000,15000,Individual,Petrol,Manual,First Owner,500000
Maruti Celerio,2004,1570000,10000,Individual,Petrol,Manual,First Owner,450000
Mahindra XUV500,2015,1700000,100000,Individual,Diesel,Manual,First Owner,650000
BMW Z4,2007,4000000,2000,Dealer,Petrol,Automatic,Second Owner,8250000
Maruti Wagon R,2020,1995000,10000,Individual,Petrol,Manual,First Owner,500000
Maruti Alto,2020,3030000,43000,Individual,Petrol,Manual,First Owner,140000
Honda Amaze,2021,4000000,64000,Dealer,CNG,Manual,First Owner,349000
Maruti Wagon R,2022,1310000,30000,Individual,Petrol,Manual,First Owner,325000
Honda City,2020,2400000,63000,Dealer,Petrol,Manual,First Owner,435000
Maruti Celerio,2018,1200000,28000,Dealer,CNG,Manual,First Owner,455000
Land Rover Rover,2023,2300000,25000,Individual,Petrol,Automatic,Second Owner,6200000
Honda City,2016,865000,32226,Dealer,Petrol,Manual,First Owner,755000
Maruti Alto,2020,2250000,65000,Individual,Petrol,Manual,First Owner,245000
Kia Seltos,2022,1725000,14000,Dealer,Diesel,Manual,First Owner,1350000
Renault KWID,2004,1100000,15000,Individual,Petrol,Automatic,First Owner,310000
BMW 6,2023,1425000,30000,Individual,Petrol,Automatic,First Owner,5500000
Maruti Swift Dzire,2016,1300000,32000,Dealer,Diesel,Manual,Second Owner,675000
Maruti Wagon R,2013,1850000,30000,Individual,Petrol,Manual,First Owner,500000
Hyundai i10,2020,1400000,25000,Individual,Petrol,Manual,Second Owner,300000
Mahindra Scorpio,2020,1730000,35000,Individual,Diesel,Automatic,Third Owner,1450000
Mahindra Scorpio,2014,3100000,140000,Individual,Diesel,Manual,First Owner,530000
Ford Ecosport,2019,1800000,65597,Trustmark Dealer,Diesel,Manual,First Owner,575000
Hyundai i20,2020,4550000,35000,Individual,Petrol,Manual,First Owner,550000
Maruti Ciaz,2013,2250000,160000,Individual,Diesel,Manual,First Owner,500000
Maruti Baleno,2023,3225000,7124,Individual,Petrol,Manual,First Owner,643000
Ford Ecosport,2023,2850000,15000,Individual,Petrol,Manual,Second Owner,1000000
Hyundai Grand,2020,635000,34000,Individual,Petrol,Manual,First Owner,550000
Volkswagen Vento,2015,2200000,280000,Individual,Diesel,Manual,First Owner,300000
Tata Tigor,2020,3900000,40000,Individual,Petrol,Manual,First Owner,470000
Honda City,2011,675000,77000,Dealer,Diesel,Manual,Second Owner,525000
Datsun GO,2016,3655000,15000,Individual,Petrol,Manual,First Owner,469000
Maruti Alto,2023,3300000,60000,Individual,Petrol,Manual,First Owner,210000
Maruti Alto,2023,1190000,120000,Individual,Petrol,Manual,First Owner,200000
Renault KWID,2018,4700000,2500,Individual,Petrol,Manual,First Owner,400000
