Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
i20,2017,8.1,3435,Petrol,Dealer,Manual,0,7.9
grand i10,2015,5.7,21125,Diesel,Dealer,Manual,0,4.85
i10,2012,4.6,35775,Petrol,Dealer,Manual,0,3.1
elantra,2015,14.79,43535,Diesel,Dealer,Manual,0,11.75
creta,2016,13.6,22671,Petrol,Dealer,Manual,0,11.25
i20,2011,6.79,31604,Petrol,Dealer,Manual,0,2.9
grand i10,2017,5.7,20114,Petrol,Dealer,Manual,0,5.25
verna,2012,9.4,36100,Petrol,Dealer,Manual,0,4.5
eon,2016,4.43,12500,Petrol,Dealer,Manual,0,2.9
eon,2016,4.43,15000,Petrol,Dealer,Manual,0,3.15
verna,2014,9.4,45078,Petrol,Dealer,Manual,0,6.45
verna,2012,9.4,36000,Petrol,Dealer,Manual,0,4.5
eon,2017,4.43,38488,Petrol,Dealer,Manual,0,3.5
i20,2013,6.79,32000,Petrol,Dealer,Automatic,0,4.5
i20,2014,7.6,77632,Diesel,Dealer,Manual,0,6
verna,2015,9.4,61381,Diesel,Dealer,Manual,0,8.25
verna,2013,9.4,36198,Petrol,Dealer,Automatic,0,5.11
i10,2011,4.6,22517,Petrol,Dealer,Manual,0,2.7
grand i10,2015,5.7,24678,Petrol,Dealer,Manual,0,5.25
i10,2011,4.43,57000,Petrol,Dealer,Manual,0,2.55
verna,2012,9.4,60000,Diesel,Dealer,Manual,0,4.95
i20,2012,6.79,52132,Diesel,Dealer,Manual,0,3.1
verna,2013,9.4,45000,Diesel,Dealer,Manual,0,6.15
verna,2017,9.4,15001,Petrol,Dealer,Manual,0,9.25
elantra,2015,14.79,12900,Petrol,Dealer,Automatic,0,11.45
grand i10,2013,5.7,53000,Diesel,Dealer,Manual,0,3.9
grand i10,2015,5.7,4492,Petrol,Dealer,Manual,0,5.5
verna,2017,9.4,15141,Petrol,Dealer,Manual,0,9.1
eon,2016,4.43,11849,Petrol,Dealer,Manual,0,3.1
creta,2015,13.6,68000,Diesel,Dealer,Manual,0,11.25
verna,2013,9.4,60241,Petrol,Dealer,Manual,0,4.8
eon,2012,4.43,23709,Petrol,Dealer,Manual,0,2
verna,2012,9.4,32322,Diesel,Dealer,Manual,0,5.35
xcent,2015,7.13,35866,Petrol,Dealer,Manual,1,4.75
xcent,2014,7.13,34000,Petrol,Dealer,Manual,0,4.4
i20,2016,7.6,7000,Petrol,Dealer,Manual,0,6.25
verna,2013,9.4,49000,Diesel,Dealer,Manual,0,5.95
verna,2012,9.4,71000,Diesel,Dealer,Manual,0,5.2
i20,2012,6.79,35000,Petrol,Dealer,Manual,0,3.75
verna,2015,9.4,36000,Petrol,Dealer,Manual,0,5.95
i10,2013,4.6,30000,Petrol,Dealer,Manual,0,4
i20,2016,7.6,17000,Petrol,Dealer,Manual,0,5.25
creta,2016,13.6,35934,Diesel,Dealer,Manual,0,12.9
city,2013,9.9,56701,Petrol,Dealer,Manual,0,5
brio,2015,6.82,31427,Petrol,Dealer,Automatic,0,5.4
city,2014,9.9,48000,Diesel,Dealer,Manual,0,7.2
city,2013,9.9,54242,Petrol,Dealer,Manual,0,5.25
brio,2012,5.35,53675,Petrol,Dealer,Manual,0,3
city,2016,13.6,49562,Petrol,Dealer,Manual,0,10.25
city,2015,13.6,40324,Petrol,Dealer,Manual,0,8.5
city,2015,13.6,25000,Petrol,Dealer,Manual,0,8.4
amaze,2014,7,36054,Petrol,Dealer,Manual,0,3.9
city,2016,13.6,29223,Petrol,Dealer,Manual,0,9.15
brio,2016,5.97,5600,Petrol,Dealer,Manual,0,5.5
amaze,2015,5.8,40023,Petrol,Dealer,Manual,0,4
jazz,2016,7.7,16002,Petrol,Dealer,Manual,0,6.6
amaze,2015,7,40026,Petrol,Dealer,Manual,0,4
jazz,2017,8.7,21200,Petrol,Dealer,Manual,0,6.5
amaze,2014,7,35000,Petrol,Dealer,Manual,0,3.65
city,2016,9.4,19434,Diesel,Dealer,Manual,0,8.35
brio,2017,5.8,19000,Petrol,Dealer,Manual,0,4.8
city,2015,10,18828,Petrol,Dealer,Manual,0,6.7
city,2011,10,69341,Petrol,Dealer,Manual,0,4.1
city,2009,10,69562,Petrol,Dealer,Manual,0,3
city,2015,10,27600,Petrol,Dealer,Manual,0,7.5
jazz,2010,7.5,61203,Petrol,Dealer,Manual,0,2.25
brio,2014,6.8,16500,Petrol,Dealer,Manual,0,5.3
city,2016,13.6,30753,Petrol,Dealer,Automatic,0,10.9
city,2015,13.6,24800,Petrol,Dealer,Manual,0,8.65
city,2015,13.6,21780,Petrol,Dealer,Manual,0,9.7
jazz,2016,8.4,4000,Petrol,Dealer,Manual,0,6
city,2014,13.6,40126,Petrol,Dealer,Manual,0,6.25
brio,2015,5.9,14465,Petrol,Dealer,Manual,0,5.25
city,2006,7.6,50456,Petrol,Dealer,Manual,0,2.1
city,2014,14,63000,Diesel,Dealer,Manual,0,8.25
city,2016,11.8,9010,Petrol,Dealer,Manual,0,8.99
brio,2013,5.9,9800,Petrol,Dealer,Manual,0,3.5
jazz,2016,8.5,15059,Petrol,Dealer,Automatic,0,7.4
jazz,2016,7.9,28569,Petrol,Dealer,Manual,0,5.65
amaze,2015,7.5,44000,Petrol,Dealer,Automatic,0,5.75
city,2015,13.6,34000,Petrol,Dealer,Manual,0,8.4
city,2016,13.6,10980,Petrol,Dealer,Manual,0,10.11
amaze,2014,6.4,19000,Petrol,Dealer,Manual,0,4.5
brio,2015,6.1,31427,Petrol,Dealer,Manual,0,5.4
jazz,2016,8.4,12000,Petrol,Dealer,Manual,0,6.4
city,2010,9.9,38000,Petrol,Dealer,Manual,0,3.25
amaze,2014,6.8,33019,Petrol,Dealer,Manual,0,3.75
city,2015,13.09,60076,Diesel,Dealer,Manual,0,8.55
city,2016,11.6,33988,Diesel,Dealer,Manual,0,9.5
brio,2015,5.9,60000,Petrol,Dealer,Manual,0,4
city,2009,11,87934,Petrol,Dealer,Manual,0,3.35
city,2017,12.5,9000,Diesel,Dealer,Manual,0,11.5
brio,2016,5.9,5464,Petrol,Dealer,Manual,0,5.3
